"Gene","logFC_Condition","adjP_Condition","logFC_Platform","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","BIOS_Rank"
"FAM86FP",0.475142100559806,1.75295802343926e-05,-2.05002834584654e-15,0.0152568992955941,0.999956893901168,0,0,NA,NA,NA,NA
"ATPAF2",-0.325385336540985,1.77646332300098e-05,-2.27564287847368e-15,0.0104354748251302,0.999935555155931,0,0,NA,NA,NA,NA
"DYNC1LI2",-0.302901208615467,1.78440986431604e-05,1.30912136215744e-15,0.00971041962152654,0.999930529642245,0,0,NA,NA,NA,NA
"GTF2A2",-0.319244145995404,1.79643782356343e-05,4.62370523655606e-16,0.0102280540116088,0.999934252783825,0,0,NA,NA,NA,NA
"NAA38",0.411475399636501,1.81412766978073e-05,-2.8744962675457e-15,0.0131711687282864,0.999949720102882,0,0,NA,NA,NA,NA
"OS9",-0.290938316701849,1.83291177775013e-05,-1.50409688418089e-16,0.00930403604814193,0.999927539185798,0,0,NA,NA,NA,NA
"AGBL4",0.485078588070878,1.83968289357556e-05,-2.7630816835323e-15,0.0155072832346333,0.999957843634366,0,0,NA,NA,NA,NA
"DDX46",0.359342143707282,1.85811453261363e-05,4.45658336053596e-15,0.0114771618372834,0.999941952862759,0,0,NA,NA,NA,NA
"TRMT2A",0.392216560500727,1.86405770609826e-05,2.12801855465592e-15,0.0125234776763557,0.999947091261973,0,0,NA,NA,NA,NA
"SENP5",0.249974630406105,1.89694315710233e-05,-2.5486086093065e-15,0.00796887433896271,0.99991513109045,0,0,NA,NA,NA,NA
"PTPRJ",-0.463690655461355,1.94850550889813e-05,1.88290646982644e-15,0.0147454088215435,0.999955748882005,0,0,NA,NA,NA,NA
"NYNRIN",0.391544767106754,1.96585953151128e-05,2.82993043394034e-15,0.0124409831265102,0.999946994894046,0,0,NA,NA,NA,NA
"TFEB",-0.377809325690385,1.96620135170546e-05,-3.06390106036848e-15,0.0120043592231388,0.999944949427232,0,0,NA,NA,NA,NA
"EIF2S1",0.348781776986396,1.96690048825972e-05,2.61824272431488e-15,0.0110816861849276,0.999940096679933,0,0,NA,NA,NA,NA
