"Gene","BIOS","adjP","AUC_train","Em","Es"
"NUP214",0.351450923312407,0.0135537622406882,0.817901234567901,0,0
"FAM78A",0.352001358296392,0.0162480913057207,0.811728395061728,0,0
"PLPP7",0.257323780014387,0.803733303991799,0.484567901234568,0,0
"LOC105376299",0.254713130423977,0.874089934597446,0.475308641975309,0,0
"LOC105376300",0.246358986237559,0.340223886375245,0.444444444444444,0,0
"PRRC2B",0.364786832747007,0.00220945820447163,0.854938271604938,0,0
"SNORD62A",0.280224681419069,0.444987452651545,0.566358024691358,0,0
"SNORD62B",0.378183173190151,0.000484914647720613,0.87037037037037,0,0
"POMT1",0.341202400675237,0.00969463890312825,0.777777777777778,0,0
"LOC105376301",0.271418237850427,0.824966680168886,0.535493827160494,0,0
"UCK1",0.302824264322947,0.310153696155218,0.648148148148148,0,0
"PRRT1B",0.322830060439454,0.0824321720043046,0.703703703703704,0,0
"RAPGEF1",0.321111191428509,0.123220897347471,0.712962962962963,0,0
"MED27",0.365744307472263,0.00160716615839331,0.858024691358025,0,0
"LOC105376302",0.261538461538462,0.999999999999999,0.5,0,0
"NTNG2",0.312125142265969,0.109526380935503,0.675925925925926,0,0
"SETX",0.281210549396558,0.832297453332703,0.570987654320988,0,0
"TTF1",0.330542601622589,0.0525863240135495,0.743827160493827,0,0
"CFAP77",0.325343321429643,0.0553484904003359,0.720679012345679,0,0
"LOC105376304",0.261538461538462,0.999999999999999,0.5,0,0
"BARHL1",0.271420421609931,0.709224522476545,0.535493827160494,0,0
"DDX31",0.370332348413492,0.00130793878836133,0.864197530864197,0,0
"GTF3C4",0.357039371637439,0.00485567668914355,0.830246913580247,0,0
"AK8",0.33711701700613,0.050305682899744,0.759259259259259,0,0
"SPACA9",0.290651589717798,0.753588474541186,0.604938271604938,0,0
"TSC1",0.293163823183383,0.970566565551713,0.614197530864198,0,0
"GFI1B",0.692340468724236,4.20128647474996e-05,0.972222222222222,1,0.33
"MIR548AW",0.261538461538462,0.999999999999999,0.5,0,0
"SNORD141A",0.320139465637571,0.22819209472676,0.709876543209877,0,0
"LOC105376306",0.292077622542841,0.53539703360457,0.609567901234568,0,0
"GTF3C5",0.312227351876114,0.0925896190336763,0.679012345679012,0,0
"MIR6877",0.284809347398189,0.544396664331016,0.583333333333333,0,0
"CEL",0.621699035088965,0.00603857251030741,0.765432098765432,1,0.33
"CELP",0.59885231459623,0.0288627651924964,0.720679012345679,1,0.33
"RALGDS",0.303933916535516,0.218925005273175,0.651234567901235,0,0
"GBGT1",0.283524604576273,0.325653446808527,0.577160493827161,0,0
"OBP2B",0.330191974430795,0.0248056254656266,0.717592592592593,0,0
"ABO",0.352475680163095,0.020721954380511,0.808641975308642,0,0
"SURF6",0.355978227572476,0.00712986228438778,0.830246913580247,0,0
"MED22",0.318690104443232,0.139456900751014,0.703703703703704,0,0
"RPL7A",0.361704399041576,0.00259059194282327,0.839506172839506,0,0
"SNORD24",0.318005620746918,0.0670251720620511,0.692901234567901,0,0
"SNORD36B",0.343135118807372,0.0179561140178097,0.776234567901235,0,0
"SNORD36A",0.337577703608715,0.0108676889144708,0.753086419753086,0,0
"SNORD36C",0.311936095464037,0.209511182012464,0.677469135802469,0,0
"SURF1",0.311004659449181,0.194168316023666,0.675925925925926,0,0
"SURF2",0.341607856886916,0.025132271174798,0.782407407407407,0,0
"SURF4",0.360855117726388,0.00179030806918672,0.845679012345679,0,0
"STKLD1",0.294392838800686,0.384227690993744,0.617283950617284,0,0
"REXO4",0.352944168988605,0.00379818750117089,0.817901234567901,0,0
"ADAMTS13",0.337093148766372,0.0494533320224644,0.765432098765432,0,0
"CACFD1",0.338601194344736,0.0114484192588197,0.759259259259259,0,0
"SLC2A6",0.267586854753803,0.699750426611653,0.521604938271605,0,0
"LOC102723855",0.243186448996908,0.838817353649315,0.433641975308642,0,0
"MYMK",0.291677844814571,0.361955713405268,0.606481481481481,0,0
"ADAMTSL2",0.310483330907267,0.11442579100751,0.66820987654321,0,0
"FAM163B",0.3646912870228,0.00648717141676513,0.802469135802469,0,0
"DBH",0.310469789281296,0.258639564301447,0.672839506172839,0,0
"DBH-AS1",0.352836997667875,0.00830544633791744,0.808641975308642,0,0
"SARDH",0.330485830441952,0.0325709029042124,0.737654320987654,0,0
"VAV2",0.29072518329809,0.610366046014168,0.604938271604938,0,0
"BRD3OS",0.367203694200588,0.0185066721813918,0.87037037037037,0,0
"BRD3",0.347408787976223,0.00966987619217444,0.797839506172839,0,0
"LOC100130548",0.261965811965812,0.999999999999999,0.501543209876543,0,0
"WDR5",0.379899165494723,0.000400835157274571,0.898148148148148,0,0
"RNU6ATAC",0.28441939763417,0.532594703354402,0.58179012345679,0,0
"LOC107987137",0.269262020498659,0.532594703354402,0.527777777777778,0,0
"LOC101928384",0.269289063131553,0.532594703354402,0.527777777777778,0,0
"LOC107987039",0.211893999715074,0.246259208984218,0.317901234567901,0,0
"LINC02247",0.261538461538462,0.999999999999999,0.5,0,0
"RXRA",0.379407261515382,0.000389053810805203,0.898148148148148,0,0
"MIR4669",0.253858101679321,0.859698897396222,0.472222222222222,0,0
