"draw","MinMedian","Jaccard_vs_equal","Ec","Ep","Em","Es","Ex"
172,0.926670025247261,0.666666666666667,0.186881757428818,0.537018659202102,0.151326428456744,0.0555258460307111,0.0692473088816251
173,0.926670025247261,0.904761904761905,0.322533597815931,0.118281087426927,0.181160114389892,0.165027977315186,0.212997223052064
174,0.926670025247261,0.666666666666667,0.312676974119578,0.135693202074272,0.367786922462077,0.104214032990484,0.0796288683535885
175,0.926670025247261,0.6,0.350352027040446,0.552485156309008,0.0766261009387715,0.00905308420230561,0.0114836315094687
176,0.926670025247261,0.666666666666667,0.503743013321982,0.237821924498563,0.136110991638527,0.100911077374248,0.0214129931666795
177,0.91963727329581,0.739130434782609,0.0166215315626707,0.425546852039966,0.0657160093650063,0.46142487631878,0.0306907307135771
178,0.930555555555556,0.538461538461538,0.618581137892034,0.117755214967453,0.0743446640727701,0.00736013982651184,0.181958843241231
179,0.926670025247261,0.904761904761905,0.28713971531817,0.0828411774279805,0.0306619730096052,0.165400605681215,0.433956528563029
180,0.926670025247261,0.666666666666667,0.476300280959677,0.214966314052787,0.0907274413054953,0.205817298431974,0.0121886652500656
181,0.91963727329581,0.739130434782609,0.0905347151005475,0.133090818135685,0.232728624271719,0.519262906731316,0.024382935760732
182,0.921200750469043,0.818181818181818,0.166384796337884,0.280098976867942,0.217114692397628,0.232010653691358,0.104390880705189
183,0.926670025247261,0.666666666666667,0.422945036011174,0.143593621042664,0.125668451610718,0.153958114478141,0.153834776857304
184,0.926670025247261,0.666666666666667,0.460528952360264,0.191711737944403,0.122334576135157,0.210317988538448,0.0151067450217289
185,0.926670025247261,0.818181818181818,0.0866506560388443,0.281720769031604,0.0790209321935566,0.0861562965472938,0.466451346188702
186,0.91963727329581,0.739130434782609,0.142367000405228,0.0295350161661386,0.203112445009025,0.544285588762406,0.0806999496572021
187,0.926670025247261,0.666666666666667,0.372769649173904,0.222085894210096,0.164975920981766,0.157652219917285,0.0825163157169489
188,0.926670025247261,0.739130434782609,0.284011506436216,0.311956449242909,0.167936997995417,0.125934113350016,0.110160932975441
189,0.926670025247261,0.904761904761905,0.162921536749461,0.323138710700457,0.254460601270509,0.130123431572258,0.129355719707315
190,0.91963727329581,0.739130434782609,0.0748836944625545,0.204727570527897,0.218592079542321,0.410347666721526,0.0914489887457018
191,0.930555555555556,0.538461538461538,0.296957984755808,0.011065454702223,0.372861660285389,0.00220368576777205,0.316911214488809
192,0.923583605494175,1,0.100403562574071,0.498207150552692,0.203527598221908,0.109710457091649,0.0881512315596801
193,0.926670025247261,0.904761904761905,0.25502850708891,0.383832279966632,0.0923439614806578,0.134520382639537,0.134274868824263
194,0.930555555555556,0.538461538461538,0.319949602624491,0.0452792722146795,0.0759616028492068,0.0250792963245329,0.53373022598709
195,0.926670025247261,0.818181818181818,0.327061050685182,0.285891894958286,0.0337741703981234,0.160231848319281,0.193041035639128
196,0.930555555555556,0.666666666666667,0.293771489620911,0.105557684926106,0.230020575328305,0.0690907745449938,0.301559475579684
197,0.923583605494175,0.904761904761905,0.081490101177007,0.258401172118468,0.382967209241825,0.11321222548841,0.16392929197429
198,0.930555555555556,0.666666666666667,0.147988297551248,0.193848125064231,0.305337767585332,0.0442399470892059,0.308585862709983
199,0.921200750469043,0.818181818181818,0.30715632004606,0.247575429976306,0.090214940480642,0.331940676270005,0.0231126332269866
200,0.926670025247261,0.739130434782609,0.232878560190239,0.397516798259501,0.132472765115225,0.104361922165665,0.13276995426937
201,0.91963727329581,0.739130434782609,0.17339469343997,0.00221832628594124,0.29304364668113,0.453782018562438,0.0775613150305211
202,0.938271604938272,0.6,0.0347332948699929,0.640082664011797,0.126058490995708,0.0150137418131194,0.184111808309383
203,0.91963727329581,0.739130434782609,0.0551187123108028,0.288583919107157,0.0119133556071767,0.596135786678479,0.0482482262963842
204,0.923583605494175,1,0.0954813263122396,0.175919623341489,0.453358138453708,0.134734336059308,0.140506575833256
205,0.91963727329581,0.739130434782609,0.0694527547110213,0.093718332856022,0.39343407331492,0.307392951307669,0.136001887810368
206,0.91963727329581,0.666666666666667,0.000224088352953964,0.0474028554419101,0.283596563925513,0.523537884948914,0.145238607330709
207,0.922645519190235,0.904761904761905,0.202043406882124,0.1113358589595,0.190733611960849,0.288150022113928,0.207737100083599
208,0.923583605494175,0.904761904761905,0.101936434189106,0.0972418689065535,0.161329556645799,0.202464146571021,0.43702799368752
209,0.91963727329581,0.739130434782609,0.259507277164279,0.010305267115521,0.0319382991102469,0.655576459744905,0.0426726968650478
210,0.930555555555556,0.6,0.270015686467454,0.524476316004702,0.129668256782718,0.040326313759595,0.03551342698553
211,0.930555555555556,0.818181818181818,0.267274595582125,0.189863322932676,0.118191978912036,0.131334372294479,0.293335730278685
212,0.923583605494175,1,0.275835647016476,0.0198682069069864,0.410530340558748,0.221017613168651,0.0727481923491383
213,0.926670025247261,0.666666666666667,0.500049337254276,0.179764565133335,0.118255911681996,0.0885796532297763,0.113350532700618
214,0.938491649873764,0.538461538461538,0.0846270361216142,0.184555687639969,0.0764485636416065,0.0139883150958655,0.640380397500945
215,0.91963727329581,0.739130434782609,0.170053753651595,0.523735409018516,0.0478639589467282,0.230923854166993,0.0274230242161676
