"Gene","adjP_Condition","Ec","Ep","Em","Es","Ex","AUC_Microarray","AUC_RNAseq","Ex_train"
"SIPA1L2",5.75476314482823e-10,0.0529696151521678,0.999984636837686,0,0,0.762376237623762,0.938095238095238,0.851851851851852,0.892561983471074
"MEIS1",8.88176254273583e-05,0.0206979548243682,0.999982443668037,1,0.33,0.673267326732673,0.865476190476191,0.796296296296296,0.766528925619835
"PROX1-AS1",0.00329922330782207,0.0132644836390908,0.99998333502615,0,0,0.554455445544554,0.740476190476191,0.722222222222222,0.549586776859504
"SLC35G2",0.000369723901790663,0.0110852304415288,0.99997072185987,0,0,0.51980198019802,0.83452380952381,0.700617283950617,0.712809917355372
"C16orf54",1.27575308884194e-05,0.0453049533758013,0.999991473265004,1,0.33,0.792079207920792,0.910119047619048,0.87037037037037,0.84400826446281
"DDX60L",1.255289458323e-05,0.0217882721052071,0.999979437221012,0,0,0.589108910891089,0.884523809523809,0.743827160493827,0.799586776859504
"LINC00892",0.0273170265367549,0.00647513484237095,0.999977736295374,0,0,0.514851485148515,0.700595238095238,0.697530864197531,0.480371900826446
"MACROD1",0.00264707381277946,0.00718972481933223,0.999965693302586,0,0,0.49009900990099,0.791666666666667,0.682098765432099,0.638429752066116
"ADAMTSL3",0.00299198015101332,0.00819089506576239,0.999970872167007,0,0,0.534653465346535,0.738095238095238,0.709876543209876,0.545454545454545
"KIFC3",1.30155640186145e-05,0.0247180315632379,0.999982247387105,0,0,0.639108910891089,0.775,0.839506172839506,0.609504132231405
"ZC3H12C",1.62214501524602e-05,0.0332576214480395,0.999987767785269,0,0,0.549504950495049,0.926190476190476,0.719135802469136,0.871900826446281
"ALDH1L1-AS2",0.0133901558169533,0.00695331711050619,0.999974861515296,0,0,0.316831683168317,0.790476190476191,0.574074074074074,0.636363636363637
"EBF3",0.00503423192308071,0.00672223972352351,0.999967402181784,0,0,0.4004243281471,0.626190476190476,0.867283950617284,0.351239669421488
"TBX18",0.230521865725728,0.000922544280775847,0.99993148239519,1,0.33,0.314497878359264,0.572619047619048,0.737654320987654,0.258264462809917
"LCN6",0.00267610355518802,0.0107195606460544,0.999977889766942,1,0.33,0.457920792079208,0.726190476190476,0.662037037037037,0.524793388429752
"CDKN2B-AS1",3.33378761439247e-19,0.366359652728477,0.999997402158266,1,0.33,0.831683168316832,0.971428571428571,0.895061728395062,0.950413223140496
"LINC01186",0.0119992869441282,0.00606300011663016,0.99996998047093,0,0,0.219978783592645,0.513690476190476,0.861111111111111,0.15599173553719
"MDFIC",0.0014978242246654,0.0103215240729636,0.999974423335792,0,0,0.579207920792079,0.841666666666667,0.737654320987654,0.725206611570248
